step_index,time_s,sag_active,grid_voltage_pu,ups_output_voltage_pu,ups_mode,battery_energy_j,motor_speed_rad_s,pump_flow_m3_s,pump_head_pa,pump_operating_point_residual_pa,upw_supply_pressure_pa,upw_tool_flow_m3_s,upw_relief_flow_m3_s,upw_mass_balance_residual_m3_s
35,0.35000000000000003,False,1.0,1.0,GRID,3600000.0,149.37438963186545,0.00017929099359077102,90456.30856417122,2.9103830456733704e-11,192484.5192930661,9.248451929306611e-05,0.0,7.32734660164984e-14
36,0.36,False,1.0,1.0,GRID,3600000.0,151.33067015027217,0.00018183530774510494,92484.51929306611,0.0,194489.56709820777,9.448956709820777e-05,0.0,9.949601228629798e-13
37,0.37,False,1.0,1.0,GRID,3600000.0,153.18913664275857,0.00018422070855004784,94489.5670982078,2.9103830456733704e-11,196465.67679010332,9.646567679010332e-05,0.0,-4.73018034517856e-13
38,0.38,False,1.0,1.0,GRID,3600000.0,154.95467981062063,0.0001864589582811008,96465.67679010332,0.0,198408.02301187068,9.840802301187069e-05,0.0,-6.720525557498552e-13
39,0.39,False,1.0,1.0,GRID,3600000.0,156.6319458200896,0.00018856066892096175,98408.02301187068,0.0,200327.85998191684,0.0001,0.0,-4.709199271312435e-13
40,0.4,False,1.0,1.0,GRID,3600000.0,158.22534852908512,0.00019052745577613768,100327.8599819169,5.820766091346741e-11,202296.81245982647,0.0001,0.0,-1.1968046996144177e-14
41,0.41000000000000003,False,1.0,1.0,GRID,3600000.0,159.73908110263088,0.00019232936781647214,102296.81245982647,0.0,204305.63986301422,0.0001,0.0,-1.7879000688801605e-13
42,0.42,False,1.0,1.0,GRID,3600000.0,161.17712704749934,0.00019397901656592443,104305.63986301419,-2.9103830456733704e-11,206345.94212751836,0.0001,0.0,2.120825555646834e-13
43,0.43,False,1.0,1.0,GRID,3600000.0,162.54327069512436,0.00019548787774245017,106345.9421275183,-5.820766091346741e-11,208410.0839216262,0.0001,0.0,-1.005200290409361e-13
44,0.44,False,1.0,1.0,GRID,3600000.0,163.84110716036815,0.0001968664333863862,108410.08392162624,2.9103830456733704e-11,210491.1273578182,0.0001,0.0,9.836375895115428e-13
45,0.45,False,1.0,1.0,GRID,3600000.0,165.07405180234974,0.00019812429001659753,110491.12735781816,-2.9103830456733704e-11,212582.7725045383,0.0001,0.0,8.299261478788081e-13
46,0.46,False,1.0,1.0,GRID,3600000.0,166.24534921223227,0.00019927027744974017,112582.7725045383,0.0,214679.30377693847,0.0001,0.0,1.1326751575514368e-13
47,0.47000000000000003,False,1.0,1.0,GRID,3600000.0,167.35808175162066,0.0002003125325030644,114679.30377693844,-2.9103830456733704e-11,216775.54185735062,0.0001,0.0,-3.385391468026244e-14
48,0.48,False,1.0,1.0,GRID,3600000.0,168.41517766403962,0.000201258570237366,116775.54185735059,-2.9103830456733704e-11,218866.80033057928,0.0001,0.0,6.075030954092071e-13
49,0.49,False,1.0,1.0,GRID,3600000.0,169.41941878083765,0.0002021153450721271,118866.80033057931,2.9103830456733704e-11,220948.84645193815,0.0001,0.0,-5.810194176909117e-13
50,0.5,False,1.0,1.0,GRID,3600000.0,170.37344784179575,0.00020288930356233539,120948.84645193815,0.0,223017.86500029266,0.0001,0.0,9.50989165345549e-14
51,0.51,False,1.0,1.0,GRID,3600000.0,171.27977544970597,0.00020358643053288645,123017.86500029266,0.0,225070.4259146005,0.0001,0.0,-7.105704506781343e-13
52,0.52,False,1.0,1.0,GRID,3600000.0,172.14078667722066,0.0002042122891580958,125070.42591460049,0.0,227103.45402592793,0.0001,0.0,-8.141696274414564e-14
53,0.53,False,1.0,1.0,GRID,3600000.0,172.95874734335962,0.00020477205656366522,127103.45402592787,-5.820766091346741e-11,229114.20181626454,0.0001,0.0,-1.511992367788685e-13
54,0.54,False,1.0,1.0,GRID,3600000.0,173.73580997619163,0.00020527055508911795,129114.20181626454,0.0,231100.22398177534,0.0001,0.0,-2.1198579729705264e-13
55,0.55,False,1.0,1.0,GRID,3600000.0,174.47401947738206,0.00020571228029337319,131100.22398177534,0.0,233059.35414973646,0.0001,0.0,-1.407174615546125e-13
56,0.56,False,1.0,1.0,GRID,3600000.0,175.17531850351295,0.00020610142592321495,133059.3541497365,2.9103830456733704e-11,234989.68339990824,0.0001,0.0,-7.801747868075616e-13
57,0.5700000000000001,False,1.0,1.0,GRID,3600000.0,175.8415525783373,0.0002064419063356555,134989.68339990824,0.0,236889.5402410999,0.0001,0.0,-6.087274307124864e-13
58,0.58,False,1.0,1.0,GRID,3600000.0,176.47447494942045,0.00020673737680603835,136889.5402410999,0.0,238757.4722757563,0.0001,0.0,-2.4967915647315653e-14
59,0.59,False,1.0,1.0,GRID,3600000.0,177.07575120194943,0.00020699125182531663,138757.4722757563,0.0,240592.22914511338,0.0001,0.0,-1.3438164833288677e-13
60,0.6,False,1.0,1.0,GRID,3600000.0,177.64696364185195,0.00020720672176352087,140592.2291451134,2.9103830456733704e-11,242392.74652209133,0.0001,0.0,9.629161888419918e-13
61,0.61,False,1.0,1.0,GRID,3600000.0,178.18961545975935,0.00020738676816039515,142392.74652209133,0.0,244158.13167579472,0.0001,0.0,-7.515700437216513e-13
62,0.62,False,1.0,1.0,GRID,3600000.0,178.70513468677137,0.00020753417751466448,144158.13167579472,0.0,245887.6493270509,0.0001,0.0,-1.7398445694132708e-13
63,0.63,False,1.0,1.0,GRID,3600000.0,179.19487795243282,0.0002076515542938232,145887.64932705095,5.820766091346741e-11,247580.70930838585,0.0001,0.0,1.2931197996071675e-14
64,0.64,False,1.0,1.0,GRID,3600000.0,179.66013405481118,0.00020774133252188752,147580.70930838582,-2.9103830456733704e-11,249236.8545732461,0.0001,0.0,-6.194038202267035e-14
65,0.65,False,1.0,1.0,GRID,3600000.0,180.10212735207062,0.00020780578672053576,149236.8545732461,0.0,250855.75019475073,0.0001,0.0,-8.069323068895726e-13
66,0.66,False,1.0,1.0,GRID,3600000.0,180.5220209844671,0.0002078470419569759,150855.75019475073,0.0,252437.17294652015,0.0001,0.0,4.483273425897813e-13
67,0.67,False,1.0,1.0,GRID,3600000.0,180.92091993524375,0.00020786708324750457,152437.17294652018,2.9103830456733704e-11,253981.00204765797,0.0001,0.0,2.0091924407853942e-13
68,0.68,False,1.0,1.0,GRID,3600000.0,181.29987393848157,0.00020786776408148093,153981.00204765794,-2.9103830456733704e-11,255487.21002414823,0.0001,0.0,-4.603983684635209e-13
69,0.6900000000000001,False,1.0,1.0,GRID,3600000.0,181.6598802415575,0.00020785081460790387,155487.21002414825,2.9103830456733704e-11,256955.8543851599,0.0001,0.0,1.9509023438607845e-13
70,0.7000000000000001,False,1.0,1.0,GRID,3600000.0,182.00188622947962,0.000207817849181022,156955.85438515994,2.9103830456733704e-11,258387.07005605102,0.0001,0.0,7.351743691629605e-13
71,0.71,False,1.0,1.0,GRID,3600000.0,182.32679191800565,0.00020777037332079715,158387.07005605102,0.0,259781.0621606186,0.0001,0.0,1.4913610168858227e-13
72,0.72,False,1.0,1.0,GRID,3600000.0,182.63545232210538,0.0002077097903080061,159781.06216061863,2.9103830456733704e-11,261138.0991525948,0.0001,0.0,8.921846483714128e-13
73,0.73,False,1.0,1.0,GRID,3600000.0,182.9286797060001,0.00020763740743450241,161138.09915259483,2.9103830456733704e-11,262458.5068784654,0.0001,0.0,-5.221424895641806e-13
74,0.74,False,1.0,1.0,GRID,3600000.0,183.20724572070012,0.00020755444164595756,162458.50687846538,-2.9103830456733704e-11,263742.6624074578,0.0001,0.0,-1.3761965200233262e-13
75,0.75,False,1.0,1.0,GRID,3600000.0,183.4718834346651,0.00020746202515270885,163742.66240745783,0.0,264990.9889092669,0.0001,0.0,6.618941878692563e-13
76,0.76,False,1.0,1.0,GRID,3600000.0,183.72328926293184,0.00020736121040515555,164990.98890926683,-5.820766091346741e-11,266203.95064819604,0.0001,0.0,3.0247447613002826e-13
77,0.77,False,1.0,1.0,GRID,3600000.0,183.96212479978524,0.00020725297489335018,166203.950648196,-2.9103830456733704e-11,267382.04821012914,0.0001,0.0,-4.503763898280888e-13
78,0.78,False,1.0,1.0,GRID,3600000.0,184.18901855979598,0.00020713822572473252,167382.0482101292,5.820766091346741e-11,268525.8141369559,0.0001,0.0,1.1971966386997712e-13
79,0.79,False,1.0,1.0,GRID,3600000.0,184.40456763180617,0.0002070178039043678,168525.8141369559,0.0,269635.80914307386,0.0001,0.0,-7.895285106577186e-13
80,0.8,False,1.0,1.0,GRID,3600000.0,184.60933925021587,0.00020689248824053602,169635.80914307392,5.820766091346741e-11,270712.6180990599,0.0001,0.0,7.128500535084209e-14
81,0.81,False,1.0,1.0,GRID,3600000.0,184.80387228770508,0.00020676299927566098,170712.61809905988,-2.9103830456733704e-11,271756.8468884565,0.0001,0.0,4.350105074334837e-14
82,0.8200000000000001,False,1.0,1.0,GRID,3600000.0,184.9886786733198,0.0002066300027140703,171756.8468884565,0.0,272769.1190317273,0.0001,0.0,3.327902359337876e-13
83,0.8300000000000001,False,1.0,1.0,GRID,3600000.0,185.1642447396538,0.00020649411288582064,172769.1190317273,0.0,273750.07283408195,0.0001,0.0,4.2168698410503455e-13
84,0.84,False,1.0,1.0,GRID,3600000.0,185.33103250267112,0.0002063558958853052,173750.07283408198,2.9103830456733704e-11,274700.3586497158,0.0001,0.0,2.477706320007985e-13
85,0.85,False,1.0,1.0,GRID,3600000.0,185.48948087753757,0.00020621587258544554,174700.35864971575,-2.9103830456733704e-11,275620.6363788806,0.0001,0.0,-1.8729093796687746e-13
86,0.86,False,1.0,1.0,GRID,3600000.0,185.6400068336607,0.0002060745214746354,175620.63637888053,-5.820766091346741e-11,276511.5731395781,0.0001,0.0,-3.091039217932492e-13
87,0.87,False,1.0,1.0,GRID,3600000.0,185.78300649197766,0.0002059322813477013,176511.57313957816,5.820766091346741e-11,277373.8411720842,0.0001,0.0,1.1153703083203494e-13
88,0.88,False,1.0,1.0,GRID,3600000.0,185.91885616737878,0.00020578955382538473,177373.84117208418,-2.9103830456733704e-11,278208.1159763038,0.0001,0.0,-2.471592605601293e-13
89,0.89,False,1.0,1.0,GRID,3600000.0,186.04791335900984,0.00020564670570470304,178208.11597630382,0.0,279015.074390918,0.0001,0.0,2.1696001183233067e-13
90,0.9,False,1.0,1.0,GRID,3600000.0,186.17051769105936,0.00020550407128391176,179015.07439091805,2.9103830456733704e-11,279795.3931381926,0.0001,0.0,-2.3067608749798713e-13
91,0.91,False,1.0,1.0,GRID,3600000.0,186.2869918065064,0.00020536195440954238,179795.3931381926,0.0,280549.7471941635,0.0001,0.0,-3.0695752675237963e-13
92,0.92,False,1.0,1.0,GRID,3600000.0,186.39764221618108,0.0002052206305586595,180549.74719416353,2.9103830456733704e-11,281278.8085080683,0.0001,0.0,2.6528899113283447e-14
93,0.93,False,1.0,1.0,GRID,3600000.0,186.50276010537203,0.00020508034870338085,181278.80850806832,0.0,281983.24483819306,0.0001,0.0,-3.182103984201686e-13
94,0.9400000000000001,False,1.0,1.0,GRID,3600000.0,186.60262210010342,0.00020494133307238734,181983.2448381931,2.9103830456733704e-11,282663.71852951124,0.0001,0.0,-1.8731965916005296e-14
95,0.9500000000000001,False,1.0,1.0,GRID,3600000.0,186.69749099509824,0.00020480378489623385,182663.71852951124,0.0,283320.88564056903,0.0001,0.0,-1.452064295491334e-13
96,0.96,False,1.0,1.0,GRID,3600000.0,186.78761644534333,0.00020466788393921914,183320.88564056906,2.9103830456733704e-11,283955.3950121626,0.0001,0.0,-9.98734067995076e-13
97,0.97,False,1.0,1.0,GRID,3600000.0,186.87323562307617,0.00020453379001784245,183955.39501216263,0.0,284567.8873360157,0.0001,0.0,-1.2722692365775556e-13
98,0.98,False,1.0,1.0,GRID,3600000.0,186.95457384192235,0.0002044016444790374,184567.88733601567,-2.9103830456733704e-11,285158.9946891181,0.0001,0.0,7.243002787707224e-14
99,0.99,False,1.0,1.0,GRID,3600000.0,187.03184514982624,0.00020427157141167317,185158.99468911812,0.0,285729.33971881866,0.0001,0.0,9.582528896084647e-13
100,1.0,False,1.0,1.0,GRID,3600000.0,187.10525289233493,0.00020414367899088573,185729.33971881866,0.0,286279.5352935791,0.0001,0.0,-1.5111256159144187e-13
101,1.01,False,1.0,1.0,GRID,3600000.0,187.1749902477182,0.00020401806055790893,186279.53529357913,2.9103830456733704e-11,286810.1836880669,0.0001,0.0,8.241195083264841e-13
102,1.02,False,1.0,1.0,GRID,3600000.0,187.2412407353323,0.00020389479589247284,186810.18368806687,-2.9103830456733704e-11,287321.8765249476,0.0001,0.0,8.923853714629896e-13
103,1.03,False,1.0,1.0,GRID,3600000.0,187.3041786985657,0.00020377395208011947,187321.8765249476,2.9103830456733704e-11,287815.1942510158,0.0001,0.0,4.332476048654176e-13
104,1.04,False,1.0,1.0,GRID,3600000.0,187.3639697636374,0.00020365558457429827,187815.1942510158,2.9103830456733704e-11,288290.70578794926,0.0001,0.0,9.416539965991346e-13
105,1.05,False,1.0,1.0,GRID,3600000.0,187.42077127545554,0.0002035397381407811,188290.70578794926,0.0,288748.9684741013,0.0001,0.0,1.806902253552933e-13
106,1.06,False,1.0,1.0,GRID,3600000.0,187.47473271168275,0.0002034264476279458,188748.96847410128,0.0,289190.5276570469,0.0001,0.0,1.4050955562364305e-13
107,1.07,False,1.0,1.0,GRID,3600000.0,187.5259960760986,0.00020331573887839304,189190.5276570469,0.0,289615.91669358313,0.0001,0.0,-1.991228599921343e-13
108,1.08,False,1.0,1.0,GRID,3600000.0,187.57469627229366,0.00020320762941124885,189615.91669358316,2.9103830456733704e-11,290025.6567168981,0.0001,0.0,5.865007423813814e-13
109,1.09,False,1.0,1.0,GRID,3600000.0,187.62096145867898,0.00020310212919068884,190025.65671689814,5.820766091346741e-11,290420.25675298646,0.0001,0.0,9.242806071560212e-14
110,1.1,False,1.0,1.0,GRID,3600000.0,187.66491338574502,0.00020299924119538082,190420.25675298646,0.0,290800.21348781884,0.0001,0.0,-2.4517613196687596e-13
111,1.11,False,1.0,1.0,GRID,3600000.0,187.7066677164578,0.00020289896213347743,190800.21348781884,0.0,291166.0112673417,0.0001,0.0,9.093498608330136e-13
112,1.12,False,1.0,1.0,GRID,3600000.0,187.7463343306349,0.0002028012830177036,191166.01126734167,0.0,291518.12233030796,0.0001,0.0,5.932238715826346e-13
113,1.1300000000000001,False,1.0,1.0,GRID,3600000.0,187.78401761410316,0.00020270618960107096,191518.122330308,2.9103830456733704e-11,291857.00663365424,0.0001,0.0,2.1731831015715103e-13
114,1.1400000000000001,False,1.0,1.0,GRID,3600000.0,187.819816733398,0.00020261366298977582,191857.00663365427,2.9103830456733704e-11,292183.11202712357,0.0001,0.0,-8.931726369184527e-13
115,1.1500000000000001,False,1.0,1.0,GRID,3600000.0,187.8538258967281,0.00020252368006118342,192183.11202712357,0.0,292496.87413685024,0.0001,0.0,7.982249487992676e-13
116,1.16,False,1.0,1.0,GRID,3600000.0,187.88613460189168,0.00020243621400350075,192496.87413685024,0.0,292798.71694743633,0.0001,0.0,-6.819393199748182e-13
117,1.17,False,1.0,1.0,GRID,3600000.0,187.9168278717971,0.0002023512344893957,192798.71694743636,2.9103830456733704e-11,293089.0523362905,0.0001,0.0,5.441675340788952e-13
118,1.18,False,1.0,1.0,GRID,3600000.0,187.94598647820723,0.00020226870834668932,193089.05233629048,0.0,293368.28077211976,0.0001,0.0,-7.559562022451663e-13
119,1.19,False,1.0,1.0,GRID,3600000.0,187.97368715429687,0.00020218859963443305,193368.2807721197,-5.820766091346741e-11,293636.79096568376,0.0001,0.0,2.8031120939084895e-13
120,1.2,False,1.0,1.0,GRID,3600000.0,188.00000279658204,0.00020211087021791425,193636.7909656838,2.9103830456733704e-11,293894.96045187116,0.0001,0.0,2.682307018302978e-13
121,1.21,False,1.0,1.0,GRID,3600000.0,188.02500265675295,0.0002020354798651971,193894.96045187113,-2.9103830456733704e-11,294143.15558969975,0.0001,0.0,-6.862245443582725e-13
122,1.22,False,1.0,1.0,GRID,3600000.0,188.0487525239153,0.0002019623866140424,194143.15558969975,0.0,294381.7316205241,0.0001,0.0,1.8729369421208782e-13
123,1.23,False,1.0,1.0,GRID,3600000.0,188.07131489771956,0.00020189154709352434,194381.73162052405,-2.9103830456733704e-11,294611.0331919044,0.0001,0.0,-9.300348212981408e-13
124,1.24,False,1.0,1.0,GRID,3600000.0,188.0927491528336,0.00020182291659904652,194611.03319190445,2.9103830456733704e-11,294831.3941247761,0.0001,0.0,8.792244649078861e-13
125,1.25,False,1.0,1.0,GRID,3600000.0,188.11311169519192,0.00020175644952673133,194831.39412477612,0.0,295043.1381119415,0.0001,0.0,7.274527346535944e-13
126,1.26,False,1.0,1.0,GRID,3600000.0,188.13245611043232,0.00020169209933176295,195043.13811194157,5.820766091346741e-11,295246.5786598623,0.0001,0.0,-9.565834647494247e-13
127,1.27,False,1.0,1.0,GRID,3600000.0,188.1508333049107,0.00020162981884744457,195246.57865986228,0.0,295442.0191468671,0.0001,0.0,-4.660853222603978e-13
128,1.28,False,1.0,1.0,GRID,3600000.0,188.16829163966514,0.0002015695605332428,195442.01914686713,2.9103830456733704e-11,295629.7533470206,0.0001,0.0,-1.4333749158508178e-13
129,1.29,False,1.0,1.0,GRID,3600000.0,188.1848770576819,0.00020151127647893832,195629.75334702057,-2.9103830456733704e-11,295810.065488331,0.0001,0.0,9.085643360302572e-13
130,1.3,False,1.0,1.0,GRID,3600000.0,188.20063320479778,0.00020145491862726483,195810.06548833102,0.0,295983.23066020384,0.0001,0.0,-1.4029358720956515e-13
131,1.31,False,1.0,1.0,GRID,3600000.0,188.2156015445579,0.00020140043881142168,195983.23066020387,2.9103830456733704e-11,296149.5147552341,0.0001,0.0,-4.668009532924787e-13
132,1.32,False,1.0,1.0,GRID,3600000.0,188.22982146733,0.00020134778901236648,196149.51475523418,5.820766091346741e-11,296309.1748766601,0.0001,0.0,-8.544833109919788e-13
133,1.33,False,1.0,1.0,GRID,3600000.0,188.2433303939635,0.00020129692137415078,196309.17487666005,-5.820766091346741e-11,296462.4594547786,0.0001,0.0,8.439201647006118e-14
134,1.34,False,1.0,1.0,GRID,3600000.0,188.25616387426533,0.00020124778835335888,196462.45945477855,-2.9103830456733704e-11,296609.6086543985,0.0001,0.0,3.3761856598456003e-14
135,1.35,False,1.0,1.0,GRID,3600000.0,188.26835568055205,0.00020120034271406404,196609.6086543985,2.9103830456733704e-11,296750.8544330485,0.0001,0.0,-7.546113909047002e-14
136,1.36,False,1.0,1.0,GRID,3600000.0,188.27993789652444,0.00020115453768680734,196750.85443304855,2.9103830456733704e-11,296886.4208320156,0.0001,0.0,-7.085415962817729e-13
137,1.37,False,1.0,1.0,GRID,3600000.0,188.29094100169823,0.00020111032700287696,196886.4208320156,2.9103830456733704e-11,297016.5240345523,0.0001,0.0,9.348667736853121e-13
138,1.3800000000000001,False,1.0,1.0,GRID,3600000.0,188.3013939516133,0.00020106766503570321,197016.52403455228,0.0,297141.37294795364,0.0001,0.0,2.936990796947186e-13
139,1.3900000000000001,False,1.0,1.0,GRID,3600000.0,188.31132425403263,0.00020102650667351603,197141.37294795367,2.9103830456733704e-11,297261.16908714175,0.0001,0.0,-6.538170671844547e-13
140,1.4000000000000001,False,1.0,1.0,GRID,3600000.0,188.320758041331,0.00020098680753144748,197261.16908714175,0.0,297376.10674928874,0.0001,0.0,9.138633877008072e-13
141,1.41,False,1.0,1.0,GRID,3600000.0,188.32972013926445,0.0002009485240114996,197376.10674928877,2.9103830456733704e-11,297486.3735958934,0.0001,0.0,2.814600168838039e-13
142,1.42,False,1.0,1.0,GRID,3600000.0,188.33823413230124,0.00020091161315257154,197486.37359589338,0.0,297592.1505363658,0.0001,0.0,-9.250598507859573e-13
143,1.43,False,1.0,1.0,GRID,3600000.0,188.34632242568617,0.00020087603282118152,197592.15053636578,-2.9103830456733704e-11,297693.6118444428,0.0001,0.0,7.374205595080932e-13
144,1.44,False,1.0,1.0,GRID,3600000.0,188.35400630440185,0.00020084174177993435,197693.61184444278,0.0,297790.92574026436,0.0001,0.0,9.933707392293235e-13
145,1.45,False,1.0,1.0,GRID,3600000.0,188.36130598918174,0.00020080869951793502,197790.92574026436,0.0,297884.2543903738,0.0001,0.0,-6.794412861939179e-13
146,1.46,False,1.0,1.0,GRID,3600000.0,188.36824068972265,0.0002007768663650187,197884.2543903738,-2.9103830456733704e-11,297973.75390771776,0.0001,0.0,-9.357189474872815e-13
147,1.47,False,1.0,1.0,GRID,3600000.0,188.3748286552365,0.000200746203600452,197973.7539077178,2.9103830456733704e-11,298059.574700892,0.0001,0.0,3.865218719515431e-13
148,1.48,False,1.0,1.0,GRID,3600000.0,188.3810872224747,0.00020071667338235997,198059.57470089197,0.0,298141.86182338744,0.0001,0.0,2.0756800717515542e-14
149,1.49,False,1.0,1.0,GRID,3600000.0,188.38703286135095,0.00020068823867197254,198141.86182338744,0.0,298220.75485717505,0.0001,0.0,5.676328513942643e-13
150,1.5,False,1.0,1.0,GRID,3600000.0,188.3926812182834,0.00020066086338500698,198220.75485717508,2.9103830456733704e-11,298296.38832015917,0.0001,0.0,-3.475490235570742e-14
