release_cutoff_s,sample_index,source_step_index,source_timestamp_s,reported_timestamp_s,arrival_timestamp_s,arrival_minus_source_s,reported_minus_source_s,released_before_arrival,missing,quality_flags,value
0.38,35,35,0.35000000000000003,0.3598445243591701,0.37500000000000006,0.025000000000000022,0.009844524359170048,False,False,TIMESTAMP_JITTERED|DELAYED,300035.745325637
0.39,36,36,0.36,0.33535325673114613,0.385,0.025000000000000022,-0.024646743268853855,False,True,TIMESTAMP_JITTERED|DELAYED|MISSING|DROPPED,
0.4,37,37,0.37,0.3343200875080592,0.395,0.025000000000000022,-0.0356799124919408,False,False,TIMESTAMP_JITTERED|DELAYED,300034.5543207298
0.41000000000000003,38,38,0.38,0.3772573256743527,0.405,0.025000000000000022,-0.0027426743256472874,False,False,TIMESTAMP_JITTERED|DELAYED,300037.4487652825
0.42,39,39,0.39,0.38565096190391895,0.41500000000000004,0.025000000000000022,-0.004349038096081059,False,False,TIMESTAMP_JITTERED|DELAYED,300034.89718018286
0.43,40,40,0.4,0.3817415311853565,0.42500000000000004,0.025000000000000022,-0.018258468814643547,False,False,TIMESTAMP_JITTERED|DELAYED,300041.6738153902
0.44,41,41,0.41000000000000003,0.38430161513866284,0.43500000000000005,0.025000000000000022,-0.025698384861337187,False,False,TIMESTAMP_JITTERED|DELAYED,300040.3394572329
0.45,42,42,0.42,0.42206845189540004,0.445,0.025000000000000022,0.0020684518954000586,False,False,TIMESTAMP_JITTERED|DELAYED,300044.1367209119
0.46,43,43,0.43,0.4036270546494295,0.455,0.025000000000000022,-0.026372945350570498,False,False,TIMESTAMP_JITTERED|DELAYED,300042.71641841007
0.47000000000000003,44,44,0.44,0.4380266519739924,0.465,0.025000000000000022,-0.0019733480260076264,False,False,TIMESTAMP_JITTERED|DELAYED,300042.6572360776
0.48,45,45,0.45,0.3993326877683126,0.47500000000000003,0.025000000000000022,-0.05066731223168741,False,False,TIMESTAMP_JITTERED|DELAYED,300041.08653565176
0.49,46,46,0.46,0.4861023372078266,0.48500000000000004,0.025000000000000022,0.026102337207826565,False,False,TIMESTAMP_JITTERED|DELAYED,300047.52059497585
0.5,47,47,0.47000000000000003,0.4857301859947099,0.49500000000000005,0.025000000000000022,0.015730185994709878,False,False,TIMESTAMP_JITTERED|DELAYED,300049.78294403525
0.51,48,48,0.48,0.4913421489301043,0.505,0.025000000000000022,0.011342148930104323,False,False,TIMESTAMP_JITTERED|DELAYED,300047.811971786
0.52,49,49,0.49,0.4999611428061532,0.515,0.025000000000000022,0.009961142806153234,False,False,TIMESTAMP_JITTERED|DELAYED,300048.4300812627
0.53,50,50,0.5,0.5305689739933466,0.525,0.025000000000000022,0.03056897399334657,False,False,TIMESTAMP_JITTERED|DELAYED,300044.9429119393
0.54,51,51,0.51,0.5086197271354848,0.535,0.025000000000000022,-0.0013802728645152529,False,False,TIMESTAMP_JITTERED|DELAYED,300047.57851709
0.55,52,52,0.52,0.5418055822658512,0.545,0.025000000000000022,0.021805582265851164,False,False,TIMESTAMP_JITTERED|DELAYED,300050.7629053109
0.56,53,53,0.53,0.5513930202075312,0.555,0.025000000000000022,0.0213930202075312,False,False,TIMESTAMP_JITTERED|DELAYED,300054.70350949274
