step_index,timestamp_s,mode,contact_pressure_pa,platen_angular_speed_rad_s,head_angular_speed_rad_s,relative_velocity_m_s,slurry_availability,interface_temperature_k,pressure_velocity_exposure,pad_surface_activity,pad_remaining_life,dresser_effectiveness,instantaneous_mrr_m_s,cumulative_removal_m,active_polish_time_s,stage_average_mrr_m_s,thermal_energy_residual_w
29,0.29,PREPARE,22452.927949293848,6.854397667192899,5.188632192211164,1.3765801977397356,0.5201186684314459,293.15,0.6411005092355099,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
30,0.3,PREPARE,22830.281551829154,6.930771156046705,5.242723379397086,1.3919439523941741,0.5321157017206598,293.15,0.6591505777863729,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
31,0.31,PREPARE,23188.767474237695,7.002053078976925,5.293208487437281,1.4062835068067827,0.5438128091776433,293.15,0.6763977748551456,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
32,0.32,PREPARE,23529.32910052581,7.068582873711796,5.340327921608129,1.4196671332202908,0.5552174889482022,293.15,0.6928635162001174,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
33,0.33,PREPARE,23852.86264549952,7.1306773487976765,5.384306060167587,1.4321585536848396,0.5663370517244972,293.15,0.7085707650197859,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
34,0.34,PREPARE,24160.219513224543,7.1886321922111645,5.425352322823081,1.4438172431724599,0.5771786254313848,293.15,0.723543624800739,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
35,0.35000000000000003,PREPARE,24452.208537563318,7.242723379397087,5.463662167968209,1.4546987125292588,0.5877491597956002,293.15,0.7378069921008417,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
36,0.36,PREPARE,24729.59811068515,7.293208487437281,5.499418023436996,1.4648547725997842,0.5980554308007101,293.15,0.7513862616387937,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
37,0.37,PREPARE,24993.11820515089,7.340327921608129,5.532790155207863,1.4743337807713237,0.6081040450306924,293.15,0.7643070769772956,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
38,0.38,PREPARE,25243.462294893347,7.384306060167587,5.563937478194005,1.4831808711043863,0.6179014439049251,293.15,0.7765951208961688,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
39,0.39,PREPARE,25481.28918014868,7.425352322823081,5.5930083129810715,1.4914381691391496,0.6274539078073019,293.15,0.7882759402661891,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
40,0.4,PREPARE,25707.224721141247,7.463662167968209,5.6201410921156665,1.4991449923959652,0.6367675601121193,293.15,0.7993748008649915,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
41,0.41000000000000003,PREPARE,25921.863485084185,7.499418023436996,5.645465019307955,1.5063380375208788,0.6458483711093164,293.15,0.8099165681328986,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
42,0.42,PREPARE,26125.770310829976,7.532790155207863,5.669100684687424,1.513051554964306,0.6547021618315835,293.15,0.8199256103574629,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
43,0.43,PREPARE,26319.481795288477,7.563937478194005,5.691160639041596,1.5193175120222406,0.6633346077857939,293.15,0.8294257212084791,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
44,0.44,PREPARE,26503.507705524054,7.5930083129810715,5.711749929772156,1.5251657450144127,0.671751242591149,293.15,0.8384400589269454,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
45,0.45,PREPARE,26678.332320247853,7.6201410921156665,5.730966601120679,1.5306241013224806,0.6799574615263703,293.15,0.8469910998078638,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
46,0.46,PREPARE,26844.41570423546,7.645465019307955,5.748902161045967,1.5357185719633344,0.687958524988211,293.15,0.8551006039131427,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
47,0.47000000000000003,PREPARE,27002.19491902369,7.669100684687424,5.765642016976236,1.5404734153277637,0.6957595618635057,293.15,0.8627895912118536,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
48,0.48,PREPARE,27152.085173072504,7.691160639041596,5.781265882511153,1.544911272672857,0.7033655728169181,293.15,0.8700783265748161,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
49,0.49,PREPARE,27294.48091441888,7.711749929772156,5.7958481570104095,1.5490532759173918,0.7107814334964951,293.15,0.8769863122526139,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
50,0.5,PREPARE,27429.756868697936,7.730966601120679,5.809458279876382,1.5529191482529359,0.7180118976590828,293.15,0.8835322866438604,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
51,0.51,PREPARE,27558.26902526304,7.748902161045967,5.822161061217956,1.5565272980492821,0.7250616002176057,293.15,0.8897342283167542,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
52,0.52,PREPARE,27680.355573999885,7.765642016976236,5.834016990470093,1.5598949065009804,0.7319350602121656,293.15,0.8956093643841567,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
53,0.53,PREPARE,27796.33779529989,7.781265882511153,5.845082524438753,1.5630380094319931,0.7386366837068614,293.15,0.9011741824528741,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
54,0.54,PREPARE,27906.520905534893,7.7958481570104095,5.855410356142836,1.565971573647749,0.7451707666141899,293.15,0.906444445473464,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
55,0.55,PREPARE,28011.194860258147,7.809458279876382,5.865049665733314,1.5687095681979304,0.7515414974488351,293.15,0.9114352089095097,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
56,0.56,PREPARE,28110.63511724524,7.822161061217956,5.874046354684427,1.5712650308891554,0.7577529600126143,293.15,0.9161608397263981,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
57,0.5700000000000001,PREPARE,28205.10336138298,7.834016990470093,5.882443264372132,1.5736501303641075,0.7638091360122989,293.15,0.9206350367706355,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
58,0.58,PREPARE,28294.84819331383,7.845082524438753,5.8902803800806565,1.5758762240425943,0.7697139076119914,293.15,0.9248708521727742,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
59,0.59,PREPARE,28380.105783648138,7.855410356142836,5.897595021408613,1.577953912200322,0.7754710599216916,293.15,0.928880713461231,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
60,0.6,PREPARE,28461.100494465732,7.865049665733314,5.9044220199813715,1.579893088442811,0.7810842834236493,293.15,0.9326764461215536,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
61,0.61,PREPARE,28538.045469742447,7.874046354684427,5.910793885315947,1.5817029868147108,0.7865571763380581,293.15,0.9362692963768914,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
62,0.62,PREPARE,28611.143196255325,7.882443264372132,5.916740959628217,1.5833922257687798,0.7918932469296066,293.15,0.9396699540012708,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
63,0.63,PREPARE,28680.58603644256,7.8902803800806565,5.922291562319669,1.584968849203844,0.7970959157563664,293.15,0.9428885750084267,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
64,0.64,PREPARE,28746.556734620433,7.897595021408613,5.927472124831691,1.5864403647670948,0.8021685178624572,293.15,0.9459348040859575,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
65,0.65,PREPARE,28809.22889788941,7.9044220199813715,5.932307316509578,1.587813779603085,0.8071143049158959,293.15,0.948817796667966,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
66,0.66,PREPARE,28868.76745299494,7.910793885315947,5.936820162075606,1.5890956337196043,0.8119364472929985,293.15,0.9515462405595676,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
67,0.67,PREPARE,28925.329080345193,7.916740959628217,5.941032151270566,1.5902920311293038,0.8166380361106735,293.15,0.9541283770440794,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
68,0.68,PREPARE,28979.062626327934,7.922291562319669,5.944963341185861,1.591408668915314,0.8212220852079067,293.15,0.9565720214186956,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
69,0.6900000000000001,PREPARE,29030.109495011537,7.927472124831691,5.948632451773471,1.592450864359264,0.825691533077709,293.15,0.9588845829173165,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
70,0.7000000000000001,PREPARE,29078.60402026096,7.932307316509578,5.952056954988573,1.5934235802608412,0.8300492447507664,293.15,0.9610730839901919,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
71,0.71,PREPARE,29124.67381924791,7.936820162075606,5.955253157989335,1.5943314485694566,0.8342980136319972,293.15,0.9631441789194056,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
72,0.72,PREPARE,29168.440128285514,7.941032151270566,5.958236280790047,1.5951787924405296,0.8384405632911972,293.15,0.9651041717571758,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
73,0.73,PREPARE,29210.01812187124,7.944963341185861,5.961020528737377,1.5959696468214029,0.8424795492089173,293.15,0.9669590335806469,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
74,0.74,PREPARE,29249.517215777676,7.948632451773471,5.963619160154885,1.5967077776649152,0.8464175604786944,293.15,0.9687144190624956,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
75,0.75,PREPARE,29287.041354988793,7.952056954988573,5.966044549477893,1.597396699862105,0.850257121466727,293.15,0.9703756823613497,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
76,0.76,PREPARE,29322.689287239355,7.955253157989335,5.968308246179366,1.5980396939794366,0.8540006934300589,293.15,0.971947892339928,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
