scenario,topology,step_index,source_time_s,timestamp_s,event_active,grid_voltage_pu,ups_output_voltage_pu,ups_mode,battery_energy_j,vfd_available_output_pu,vfd_tripped,motor_speed_rad_s,pump_flow_m3_s,pump_head_pa,pump_operating_point_residual_pa,upw_supply_pressure_pa,upw_tool_flow_m3_s,upw_temperature_k,upw_mass_balance_residual_m3_s,pressure_support,flow_support,hydraulic_support,effective_availability,dressing_availability,slurry_utility_availability,coolant_temperature_k,cooling_conductance_factor,cmp_mode,cmp_pad_surface_activity,cmp_interface_temperature_k,cmp_mrr_m_s,cmp_cumulative_removal_m
degraded_ups_3s_interruption_during_dress,NO_CONNECTION,16,0.15,0.16,False,1.0,1.0,GRID,500.0,1.0,False,188.4999773498748,0.00020000041083903262,199999.08219324428,2.9103830456733704e-11,299999.12462662905,0.0001,293.15,-1.4197803197870254e-13,1.0,1.0,1.0,1.0,1.0,1.0,293.15,1.0,DRESS,0.5014380554778319,293.15,0.0,0.0
degraded_ups_3s_interruption_during_dress,NO_CONNECTION,17,0.16,0.17,False,1.0,1.0,GRID,500.0,1.0,False,188.49997848238107,0.00020000039202557404,199999.12462662905,0.0,299999.16513916105,0.0001,293.15,-7.946464032583145e-13,1.0,1.0,1.0,1.0,1.0,1.0,293.15,1.0,DRESS,0.5015277963406747,293.15,0.0,0.0
degraded_ups_3s_interruption_during_dress,NO_CONNECTION,18,0.17,0.18,False,1.0,1.0,GRID,500.0,1.0,False,188.49997955826203,0.00020000037405237873,199999.16513916108,2.9103830456733704e-11,299999.2037890479,0.0001,293.15,-8.398821444095437e-13,1.0,1.0,1.0,1.0,1.0,1.0,293.15,1.0,DRESS,0.5016175210322689,293.15,0.0,0.0
degraded_ups_3s_interruption_during_dress,NO_CONNECTION,19,0.18,0.19,False,1.0,1.0,GRID,500.0,1.0,False,188.49998058034893,0.0002000003568963511,199999.2037890479,0.0,299999.2405762896,0.0001,293.15,8.633723559214895e-13,1.0,1.0,1.0,1.0,1.0,1.0,293.15,1.0,DRESS,0.5017072295555317,293.15,0.0,0.0
degraded_ups_3s_interruption_during_dress,NO_CONNECTION,20,0.19,0.2,False,1.0,1.0,GRID,500.0,1.0,False,188.49998155133147,0.0002000003405631989,199999.2405762896,0.0,299999.2757337168,0.0001,293.15,-4.5220332036203095e-13,1.0,1.0,1.0,1.0,1.0,1.0,293.15,1.0,DRESS,0.5017969219133801,293.15,0.0,0.0
degraded_ups_3s_interruption_during_dress,NO_CONNECTION,21,0.2,0.21,False,1.0,1.0,GRID,500.0,1.0,False,188.4999824737649,0.00020000032494192955,199999.2757337168,0.0,299999.3092613295,0.0001,293.15,-2.4098892261075216e-13,1.0,1.0,1.0,1.0,1.0,1.0,293.15,1.0,DRESS,0.5018865981087302,293.15,0.0,0.0
degraded_ups_3s_interruption_during_dress,NO_CONNECTION,22,0.21,0.22,False,1.0,1.0,GRID,500.0,1.0,False,188.49998335007666,0.0002000003100376942,199999.3092613295,2.9103830456733704e-11,299999.341275543,0.0001,293.15,-8.843473371135391e-13,1.0,1.0,1.0,1.0,1.0,1.0,293.15,1.0,DRESS,0.5019762581444976,293.15,0.0,0.0
degraded_ups_3s_interruption_during_dress,NO_CONNECTION,23,0.22,0.23,False,1.0,1.0,GRID,500.0,1.0,False,188.49998418257283,0.00020000029579717897,199999.34127554297,0.0,299999.3717763573,0.0001,293.15,-1.0728606154519466e-13,1.0,1.0,1.0,1.0,1.0,1.0,293.15,1.0,DRESS,0.5020659020235977,293.15,0.0,0.0
degraded_ups_3s_interruption_during_dress,NO_CONNECTION,24,0.23,0.24,False,1.0,1.0,GRID,500.0,1.0,False,188.49998497344419,0.0002000002822250329,199999.37177635735,5.820766091346741e-11,299999.40088018775,0.0001,293.15,-2.9167011687813993e-13,1.0,1.0,1.0,1.0,1.0,1.0,293.15,1.0,DRESS,0.502155529748945,293.15,0.0,0.0
degraded_ups_3s_interruption_during_dress,NO_CONNECTION,25,0.24,0.25,False,1.0,1.0,GRID,500.0,1.0,False,188.499985724772,0.000200000269267465,199999.4008801878,5.820766091346741e-11,299999.42858703434,0.0001,293.15,8.370159231517708e-13,1.0,1.0,1.0,1.0,1.0,1.0,293.15,1.0,DRESS,0.5022451413234535,293.15,0.0,0.0
degraded_ups_3s_interruption_during_dress,NO_CONNECTION,26,0.25,0.26,False,1.0,1.0,GRID,500.0,1.0,False,188.4999864385334,0.0002000002569286709,199999.4285870343,-5.820766091346741e-11,299999.4550133124,0.0001,293.15,8.964535971184254e-13,1.0,1.0,1.0,1.0,1.0,1.0,293.15,1.0,DRESS,0.502334736750037,293.15,0.0,0.0
degraded_ups_3s_interruption_during_dress,NO_CONNECTION,27,0.26,0.27,False,1.0,1.0,GRID,500.0,1.0,False,188.49998711660672,0.00020000024515442886,199999.4550133124,0.0,299999.48027543724,0.0001,293.15,-2.2578648857256728e-13,1.0,1.0,1.0,1.0,1.0,1.0,293.15,1.0,DRESS,0.5024243160316085,293.15,0.0,0.0
degraded_ups_3s_interruption_during_dress,NO_CONNECTION,28,0.27,0.28,False,1.0,1.0,GRID,500.0,1.0,False,188.49998776077638,0.00020000023389031817,199999.4802754372,-2.9103830456733704e-11,299999.50437340885,0.0001,293.15,-2.5581862583136824e-13,1.0,1.0,1.0,1.0,1.0,1.0,293.15,1.0,DRESS,0.5025138791710805,293.15,0.0,0.0
degraded_ups_3s_interruption_during_dress,NO_CONNECTION,29,0.28,0.29,False,1.0,1.0,GRID,500.0,1.0,False,188.49998837273756,0.0002000002231399359,199999.50437340885,0.0,299999.52730722725,0.0001,293.15,8.099542699946803e-13,1.0,1.0,1.0,1.0,1.0,1.0,293.15,1.0,DRESS,0.502603426171365,293.15,0.0,0.0
degraded_ups_3s_interruption_during_dress,NO_CONNECTION,30,0.29,0.3,False,1.0,1.0,GRID,500.0,1.0,False,188.49998895410067,0.00020000021290669958,199999.52730722725,0.0,299999.54919330776,0.0001,293.15,5.884356191329038e-13,1.0,1.0,1.0,1.0,1.0,1.0,293.15,1.0,DRESS,0.5026929570353735,293.15,0.0,0.0
degraded_ups_3s_interruption_during_dress,NO_CONNECTION,31,0.3,0.31,False,1.0,1.0,GRID,500.0,1.0,False,188.49998950639565,0.00020000020313564812,199999.54919330773,-2.9103830456733704e-11,299999.570089858,0.0001,293.15,1.5971375047151282e-13,1.0,1.0,1.0,1.0,1.0,1.0,293.15,1.0,DRESS,0.5027824717660171,293.15,0.0,0.0
degraded_ups_3s_interruption_during_dress,NO_CONNECTION,32,0.31,0.32,False,1.0,1.0,GRID,500.0,1.0,False,188.49999003107587,0.00020000019380076196,199999.57008985805,2.9103830456733704e-11,299999.5900550857,0.0001,293.15,-5.313347765240248e-13,1.0,1.0,1.0,1.0,1.0,1.0,293.15,1.0,DRESS,0.5028719703662061,293.15,0.0,0.0
degraded_ups_3s_interruption_during_dress,NO_CONNECTION,33,0.32,0.33,False,1.0,1.0,GRID,500.0,1.0,False,188.49999052952208,0.00020000018487586734,199999.59005508572,0.0,299999.6090307832,0.0001,293.15,8.465265852663434e-13,1.0,1.0,1.0,1.0,1.0,1.0,293.15,1.0,DRESS,0.5029614528388505,293.15,0.0,0.0
